,Characters,Deaths,Concepts,Cover Date,Teams,Disbanded Teams,Objects in Issue,Persons,Issue Name,Issue Number,Locations,First Apperances,First Apperances of a Concept,First Appearances of a Location,First Appearances of a Object,First Appearances of a Story,First Appearances of a Team,Description,Deck
0,"['Bart Regan', 'Bret Lawton', 'Bruce Nelson', 'Buck Marshall', ""Cap'n Scum"", 'Captain Burke', 'Captain Moran', 'Chin Lung', 'Cosmo', 'Eagle-Eyed Jake', 'Erick von Holtzendorff', 'Fred Collins', 'Fui Onyui', 'Gregory Dillingwater', 'Gumshoe Gus', 'Inspector Schmaltz', 'Mr. Reeves', 'Mrs. Gotlotz', 'Mrs. Gotrox', 'Olga Balinoff', 'Rita Carlisle', 'Sally Norris', 'Shorty Morgan', 'Sigrid von Holtzendorff', 'Slam Bradley', 'Speed Saunders', 'Spider Malone']",['Fred Collins'],"['Anthology', 'Detective', 'Golden Age of Comics', 'Origin Story', 'Sidekick', 'Western']",1937-03-01,['United States Secret Service'],[],[],"['Bill Patrick', 'Creig Flessel', 'Elmer Stoner', 'Fred Schwab', 'Homer Fleming', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Russell Cole', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth']","[""The Murders of Cap'n Scum""]",['1'],"['California', 'New York City', 'Peru', 'San Francisco']",[],[],[],[],[],[],"['<p> </p><ol><li>""<strong><em>The Murders of Cap\'n Scum</em></strong>"" (Speed Saunders and the River Patrol) written and penciled by E.C. Stoner and inked by Creig Flessel. Cyril Saunders (Known as Speed) gets a call from the chief of the River Patrol saying that he has a hot case for him. He hurries over and the chief introduces him to a bayman who talks of finding four dead Chinamen in the bay. After Speed looks for some clues in Chinatown and the morgue he decides to work as a stevedore(dockworker) to look for any strange activity. He ends up finding a suspicious sail boat and decides to row a boat to get on to it. The men on the boat capture him and the captain of the ship, Cap\'n Scum, throws him out to sea. He swims to shore where he rents a small sailboat from a friend to try to get back to the suspicious boat. He gets to the sail boat as it pulls up next to a freighter. On board the two captains meet and discuss their deal. The captain of the freighter, Luke, explains that he can only give 200 Chinamen to Cap\'n Scum as he drowned 100 sick ones in the bay. Meanwhile Speed sneaks aboard the freighter and discovers the Chinamen in the hold. He then sneaks around to where the two captains are having their meeting and pulls a gun on them telling them that he is will turn them into the River Patrol. The story ends with Speed turning down a raise and a bonus for a well earned vacation.</li><li><b>""<em>The Rhangwa Pearls</em>""</b> (Cosmo, The Phantom of Disguise) written, penciled and inked by Sven Elven. Taro, the cleverest gem thief on two continents, attempts to steal some precious gems; a battle of the disguisers is had.</li><li><b>""<em>The Peruvian Mine Murders Part 1</em>""</b> (Bret Lawton) written by Unknown, penciled and inked by Creig Flessel. ""The ace international detective is confronted with a series of baffling murders. Mystery and adventure lurk at every step as he penetrates the silent Peruvian jungles.</li><li><b>""<em>The Claws of the Red Dragon Part 1</em>""</b> (Bruce Nelson) written by Malcolm Wheeler-Nicholson, penciled and inked by Tom Hickey. Hungering merely for some chow mein, Nelson arrives at an out-of-place Chinese restaurant where no one wishes to serve him. When a father and daughter also appear, tension continues to mount, until all three are attacked! (Features Vincent Sullivan Cover Character Sen Yoi as the Villain)</li><li><b>""<em>The Gotlotz Jewels</em>""</b> (Gumshoe Gus) written, penciled and inked by Bill Patrick. Gus keeps an eye out on Mrs. Gotlotz\'s jewels, only to see them stolen by someone he eventually bops on the noggin\'.</li><li><b>""<em>The Balinoff Case Part 1</em>""</b> (Bart Regan) written by Jerry Siegel, penciled and inked by Joe Shuster. Bart goes undercover to ""make the acquaintance of Olga Balinoff, who is suspected of using her charms to worm valuable army secrets out of young officers.""</li><li><b>""<em>The Gotrox Pearls</em>""</b> (Eagle-Eye Jake) written, penciled and inked by Russell Cole (aka ALGER). Jake is the last resort to solve the case of the missing Gotrox Pearls, only to realize ""neither gems nor thief exist""!</li><li><b>""Silly Sleuths""</b> by Fred Schwab. A collection of one-panel jokes.</li><li><b>""<em>The Bar S Rustlers</em>""</b> (Buck Marshall) written, penciled and inked by Homer Fleming. ""Cattle thieves are terrorizing the country [and] Buck loses no time in responding to the Sheriff\'s appeal for help.""</li><li><b>""<em>The Streets of Chinatown</em>""</b> (Slam Bradley) written by Jerry Siegel, penciled and inked by Joe Shuster. ""Don\'t mind my torn shirt, lady. This is a special occasion - the first time I ever met a dime-store princess."" Said princess offers Slam a job guarding her valuable poodle-dog; when Slam ... ""politely"" declines, the bumbling Shorty takes his place.</li></ol><p>Note: E. C. Stoner\'s first works.</p>']",[]
1,"['Bart Regan', 'Betty Graves', 'Black Pete', 'Bret Lawton', 'Bruce Nelson', 'Buck Marshall', 'Cosmo', 'Gumshoe Gus', 'Inspector Daniels', 'Inspector Flint', 'Joseph Stucchi', 'Mr. Batini', 'Mr. Chang', 'Officer Benson', 'Old Man Beekman', 'Olga Balinoff', 'Pete Graves', 'Phillip Marden', 'Sally Norris', 'Shorty Morgan', 'Sing Lo', 'Slam Bradley', 'Spider Malone', 'Tim Morgan', 'Tom Bradley']",[],[],1937-04-01,['United States Secret Service'],[],[],"['Bill Patrick', 'Creig Flessel', 'Ed Winiarski', 'Fred Schwab', 'Homer Fleming', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Russell Cole', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth']",['Skyscraper Death'],['2'],"['Cleveland', 'New York City', 'Peru']",[],[],[],[],[],[],"['<ol><li><b>Slam Bradley - Skyscraper Death:</b> Slam is accused of the murder of Pete Graves, a steelworker he had been sparring with earlier. When Shorty tails Grave\'s lawyer, he discovers the truth behind a rackeeteering ring in the area and it\'s up to Slam to rescue him from being thrown off the Jinx Tower.</li><li><b>Buck Marshall, Range Detective - The Sage City Bank Holdup:</b> The blowing up of a local dam leads Buck to the discovery of a gang lead by Taft, ""an honest businessman"" and president of the Sage City Bank.</li><li><b>Gumshoe Gus - The Disappearing Duck:</b> Gus is sent to investigate the disappearance of the Beekman\'s pet duck Gloria, only to find she\'s flown the coop for a famous Disney duck who makes her breast feathers quiver.</li><li><b>Bret Lawton - The Peruvian Mine Murders Part 2:</b> With the death total now at 8 men, Bret continues his search. When he gets too close to a presumed extinct Incan tribe, he finds himself neck deep in sand, with a face smeared with honey for the jungle ants to feast on.</li><li><b>Room Fifteen:</b> Musical colors rule the day as White and more extend room fifteen\'s stay.</li><li><b>Bart Regan, Spy - The Balinoff Case Part 2:</b> Bart must crack the mystery of Olga\'s bronze statue while watching his ex-fiance get married to an old suitor.</li><li><b>Mail-Order Murphy:</b> Humor two-pager about a neophyte detective finding an apple pie.</li><li><b>Mr. Chang - The Narcotic Ring:</b> Chang is called in to investigate a narcotic\'s ring that has captured two reporters assigned to the story. Fisticuffs and day-saving ensues.</li><li><b>Cosmo, The Phantom in Disguise - The Olive Oil Counterfeiters:</b> Cosmo is called in to investigate a counterfeiting ring that has perplexed the department\'s top detectives. He cracks the case by disguising himself as an old man and getting a job in the gang.</li><li><b>Bruce Nelson - The Claws of the Red Dragon Part 2:</b> Captured by the Chinamen, Bruce is stuffed into a car and dropped off deep into the country. Making his way back to New York City, he finds the restaurant empty, but follows a real estate lead to Long Island.</li><li><b>Silly Sleuths:</b> A collection of one-panel jokes.</li></ol>']",[]
2,"['Angus MacDonald', 'Bart Regan', 'Bill Bunce', 'Bill Littlejohn', 'Bruce Nelson', 'Buck Marshall', 'Bull Leary', 'Cosmo', ""D'arcy"", 'Erick von Holtzendorff', 'Ethel MacDonald', 'Hong Ah Kay', 'Hope Hazard', 'Jim Slade', 'Jos', 'Mulrooney', 'Officer Kelly', 'Olga Balinoff', 'Phillip Marden', 'Purnelli', 'Roxton', 'Sally Norris', 'Shorty Morgan', 'Sigrid von Holtzendorff', 'Sing Dock', 'Slam Bradley', 'Speed Saunders', 'Spider Liverman']",[],[],1937-05-01,['United States Secret Service'],[],[],"['Alex Lovy', 'Creig Flessel', 'Homer Fleming', 'Jerry Siegel', 'Jim Bettersworth', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Russell Cole', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth']",['A Stowaway In Need'],['3'],['New York City'],[],[],[],[],[],[],"['<ol><li><b>Speed Saunders and the River Patrol - A Stowaway in Need:</b> Speed\'s vacation on Long Island Sound is cut short when he discovers a beautiful young stowaway. She\'s hid there from ne\'er-do-well ""Spider"" Liverman who wants the plans for a typewriter her dead brother invented. When Spider catches up with Speed on the open water, it\'s swim, sink, and win.</li><li><b>Hope Hazard - The Air Mail Mystery Part 1:</b> Hope Hazard is called in to determine why three plans worth of air-mail has mysteriously disappeared. When she boards the fourth, it has to make an emergency landing in an isolated mountain range, where they discover ""the headquarters of Xavier!! - Ruler of the Underworld!!""</li><li><b>Cosmo, The Phantom in Disguise - The Kidnapping of Angus MacDonald:</b> Owner and president of a steamship company, MacDonald is brashly kidnapped in front of his sumptuous home, with no one the wiser... save a little girl playing nearby. Cosmo disguises himself as MacDonald, shows up for a board meeting, and surprises the truth out of conspirator.</li><li><b>Bruce Nelson - The Claws of the Dragon Part 3:</b> WIth the haunting memory of Sigrid\'s beauty driving him forward, Bruce heads into the House of the Lion only to be stalked by five murderous-looking Chinese.</li><li><b>The Wales Case:</b> It\'s fifty eyewitnesses to three that says Bell did the deed, only for ""Lazy"" Smith to come out and proclaim another seed!</li><li><b>Bart Regan, Spy - The Nearly-Weds:</b> Olga Balinoff kidnaps Bart\'s ex-fiance Sally on her wedding day and demands she give up Bart\'s name and whereabouts. When the police force think Bart kidnapped her out of jealously, Bart must both clear his name and save his sweetheart.</li><li><b>Buck Marshall, Range Detective - Bullets in the Dark:</b> Buck captures Bull Leary, an outlaw he\'s been tracking over three states. It turns out Bull\'s been involved in a cattle thieving operation and when Buck pretends to be him to investigate further, he nearly gets himself shot to death.</li><li><b>Slam Bradley - Slam Delivers the Message:</b> Slam is promised the hefty sum of two hundred dollars if he delivers a sealed envelope. When he arrives at his contact\'s destination he\'s immediately pick-pocketed, though Shorty does a little pick-pocketing of his own to return it to Bradley. However, Shorty being Shorty, he loses it again and it\'s a chase to retrieve the secret message, a chase that ends in a double-cross!</li></ol>']",[]
3,"['Arthur Bell', 'Bart Regan', 'Bruce Nelson', 'Buck Marshall', 'Captain Nelson', 'Cosmo', 'Erick von Holtzendorff', 'Inspector Daniels', 'Joseph Stucchi', 'Joshua McAllister', 'May Adams', 'Mr. Bentley', 'Mr. Chang', 'Nick Del Borno', 'Olga Balinoff', 'Padre Pesodo', 'Patrick O`Toole', 'Paul Hartley', 'Rajah Daj', 'Sally Norris', 'Shorty Morgan', 'Slam Bradley', 'Speed Saunders', 'Terril Desmond', 'Vanter']",[],[],1937-06-01,['United States Secret Service'],[],[],"['Creig Flessel', 'Ed Winiarski', 'Gardner Fox', 'Homer Fleming', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Russell Cole', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth']",['The Mystery of San Jose Island'],['4'],[],[],[],[],[],[],[],"['<p>The Mystery of San Jose Island</p><p>Cosmo, The Phantom of Disguise</p><p>Death Message</p><p>The Claws of the Red Dragon</p><p>The Evil Oak</p><p>The Bumps Mystery</p><p>Spy</p><p>Mr. Chang: The Bloody Will</p><p>The Hollywood Murders</p>']",[]
4,"['Bart Regan', 'Bill Graham', 'Bruce Nelson', 'Buck Marshall', 'Cosmo', 'Joseph Stucchi', 'Larry Steele', 'Mr. Steele', 'Olga Balinoff', 'Sally Norris', 'Shorty Morgan', 'Sigrid von Holtzendorff', 'Slam Bradley', 'Speed Saunders']",[],[],1937-07-01,['Blackmoore Gang'],[],[],"['Creig Flessel', 'Fred Schwab', 'Gardner Fox', 'Homer Fleming', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Russell Cole', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth']",['Undercover In Grade School'],['5'],[],[],[],[],[],[],[],['<p>Stories:</p><ol><li><p>Undercover In Grade School</p></li><li><p>The Path Of Thorns</p></li><li><p>The Claws Of The Red Dragon: Part 5</p></li><li><p>Winged Death</p></li><li><p>The Elm Park Mystery</p></li><li><p>The Balinoff Case: Part 5</p></li><li><p>The Dope Torpedo</p></li><li><p>Mystery Of The Wholesale Kidnappings: Part 1</p></li><li><p>A Most Fishy Robbery</p></li><li><p>Silly Sleuths</p></li></ol>'],[]
5,"['Alvardo Cortez', 'Bart Regan', 'Bill Graham', 'Bruce Nelson', 'Bruce Shaw', 'Captain Hanley', 'Chin Lung', 'Cosmo', 'Don Carlos', 'Dr. Hugo Von Gratz', 'Egor', 'Erick von Holtzendorff', 'Gumshoe Gus', 'Inspector Daniels', 'Joseph Stucchi', 'Larry Steele', 'Lunt', 'Mr. Chang', 'Mr. Jaeger', 'Rosita Cortez', 'Roskoffin', 'Sally Norris', 'Shorty Morgan', 'Sigrid von Holtzendorff', 'Slam Bradley', 'Speed Saunders', 'Squinty']",[],[],1937-08-01,[],[],[],"['Bill Patrick', 'Creig Flessel', 'Ed Winiarski', 'Gardner Fox', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth']",['The Mystery of the Lost Ape'],['6'],[],[],[],[],[],[],[],['<p>Stories:</p><ol><li><p>The Mystery Of The Lost Ape</p></li><li><p>Mystery Of The Wholesale Kidnappings: Part 2</p></li><li><p>The Disappearing Diamonds</p></li><li><p>The Claws Of The Red Dragon: Part 6</p></li><li><p>Tropical Trouble</p></li><li><p>A Bum Disguise</p></li><li><p>The Investigation Of Captain Hanley</p></li><li><p>The Mad Scientist</p></li><li><p>In Mexico</p></li></ol>'],[]
6,"['Bart Regan', 'Ben Elin', 'Bob Blackwell', 'Bruce Nelson', 'Buck Marshall', 'Chin Lung', 'Cosmo', 'Emil Rogello', 'Erick von Holtzendorff', 'Ethel Mann', 'Gumshoe Gus', 'Jim Holt', 'Joseph Stucchi', 'Larry Steele', 'Leon Petrokoff', 'Lu Gong', 'Mr. Hawkins', 'Mr. Rainhard', 'Mrs. Gottbucks', 'Mrs. Steel', 'Sally Norris', 'Shorty Morgan', 'Slam Bradley', 'Speed Saunders', 'Squinty']",[],"['Golden Age of Comics', 'Organized Crime']",1937-09-30,[],[],[],"['Bill Patrick', 'Creig Flessel', 'Fred Schwab', 'Gardner Fox', 'Homer Fleming', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth', 'Will Ely']",['In Atlantic City'],['7'],[],[],[],[],[],[],[],['<p>Stories:</p><ol><li><p>In Atlantic City</p></li><li><p>The Premonition Of Emil Rogello</p></li><li><p>The Claws Of The Red Dragon: Part 7</p></li><li><p>Rifles on The River</p></li><li><p>The Mystery Play</p></li><li><p>The COLOSSUS Disaster</p></li><li><p>A Report--In Detail</p></li><li><p>Mystery Of The Wholesale Kidnappings: Part 3</p></li><li><p>At The Rodeo</p></li><li><p>Silly Sleuths</p></li></ol>'],[]
7,"['Bart Regan', 'Berk', 'Bruce Nelson', 'Buck Marshall', 'Carl Huntley', 'Chin Lung', 'Cosmo', 'Dr. Sargoff', 'Erick von Holtzendorff', 'Fred Dunn', 'Larry Steele', 'Lem Willis', 'Lu Gong', 'Lucy-Belle Willis', 'Morgen', 'Mr. Envoy', 'Mr. Hawkins', 'Pierre Blanc', 'Sally Norris', 'Shorty Morgan', 'Sigrid von Holtzendorff', 'Slam Bradley', 'Sonia Sargoff', 'Speed Saunders', 'Squinty', 'Zeke Willis']",[],[],1937-10-01,[],[],[],"['Creig Flessel', 'Gardner Fox', 'Homer Fleming', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Russell Cole', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth', 'Will Ely']",['The River Patrol'],['8'],[],[],[],[],[],[],[],['<p>Stories:</p><ol><li><p>The River Patrol</p></li><li><p>Mystery Of The Wholesale Kidnappings: Part 4</p></li><li><p>The Disappearance Of Carl Huntley</p></li><li><p>The Claws Of The Red Dragon: Part 8</p></li><li><p>The Laughing Mummy</p></li><li><p>Bloodhound Brown</p></li><li><p>The Phony Pierre Blanc</p></li><li><p>Lucky Hunch</p></li><li><p>The Hillbillies</p></li></ol>'],[]
8,"['Agent R-42', 'Bart Regan', 'Bill Graham', 'Bruce Nelson', 'Buck Marshall', 'Cosmo', 'Donald Barnes', 'Dr. Sargoff', 'Glasser', 'Hal Lane', 'Human Fly', 'Jack Bender', 'Larry Steele', 'Lois Woodworth', 'Mike Molona', 'Mr. Steele', 'Philip Pomeroy', 'Randel', 'Sally Norris', 'Sandy Lee', 'Shorty Morgan', 'Sing Lee', 'Slam Bradley', 'Snoop Dolan', 'Sonia Sargoff', 'Speed Saunders', 'Squinty', 'Tug Bender']",[],[],1937-11-01,[],[],[],"['Creig Flessel', 'Gardner Fox', 'Homer Fleming', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Russell Cole', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth', 'Will Ely']",['Case of the Hobo Hero'],['9'],['Sage City'],[],[],[],[],[],[],['<p>Stories:</p><ol><li><p>Case Of The Hobo Hero</p> </li> <li><p>Mystery Of The Wholesale Kidnappings: Part 5</p> </li> <li><p>Death In The Radio-Studio</p> </li> <li><p>The Blood Of The Lotus: Part 1</p> </li> <li><p>Death at Latitude 30</p> </li> <li><p>The Johnson Mystery</p> </li> <li><p>The Vanishing Of R-42</p> </li> <li><p>Silver and Lead</p> </li> <li><p>The Human Fly</p> </li></ol>'],[]
9,"['Arthur Harde', 'Bart Regan', 'Bruce Nelson', 'Buck Marshall', 'Cosmo', 'Danny Blake', 'Donald Barnes', 'Dr. Hong', 'Ihmar', 'Jack Foster', 'James Wilkes', 'Larry Steele', 'Laura Wilkes', 'Lois Woodworth', 'Madge Allen', 'Mrs. Steel', 'Nick Cardoni', 'Nick Orsatti', 'Philip Pomeroy', 'Professor Deane', 'Sak-Ri-Ko', 'Sally Norris', 'Shorty Morgan', 'Sing Lee', 'Slam Bradley', 'Slug Cully', 'Snoop Dolan', 'Speed Saunders']",[],[],1937-12-01,[],[],[],"['Creig Flessel', 'Gardner Fox', 'Homer Fleming', 'Jerry Siegel', 'Joe Shuster', 'Malcolm Wheeler-Nicholson', 'Russell Cole', 'Sven Elven', 'Tom Hickey', 'Vincent Sullivan', 'Whitney Ellsworth', 'Will Ely']",['Mystery At Oak Gables'],['10'],['Sage City'],[],[],[],[],[],[],"['<p>Stories:</p><ol><li><p>Mystery at Oak Gables</p></li><li><p>The Nick Orsatti Case: Part 1</p></li><li><p>Curse Of The Indian Mummy</p></li><li><p>The Blood Of The Lotus: Part 2</p></li><li><p>Green Death</p></li><li><p>Handcuff Hawkins</p></li><li><p>To Sink The ATLANTIS, Trail Of Yellow</p></li><li><p>In The Ring</p></li><li><p>George Barrett, Kentucky Killer</p></li></ol>']",[]
